id,nr,title,subtitle,x,y
flur-036,36,åf da Luft,"Eine erhöhte, offene Lage: windig, ungeschützt, ohne Wald, oberhalb des Dorfes oder der Tallage.",7044,5137
flur-037,37,Loahmteichl und -wiesl,Lehmgrube mit Wasser und Wiese auf lehmigem Boden.,7109,4921
flur-038,38,Boofen,Boofen bedeutet Hang / obere Hangfläche / Anhöhe im Sinn von „oben gelegen“.,7641,5139
flur-039,39,Saierteich,Sauteich – Teil der von den Zisterziensern angelegten Teichlandschaft.,7617,5909
flur-040,40,Mühlteich,Teil der von den Zisterziensern angelegten Teichlandschaft.,7741,6666
flur-041,41,Hirschteich,Teil der von den Zisterziensern angelegten Teichlandschaft.,8067,6500
flur-042,42,Fliegenseich,"Sumpfige, stehende Nässe mit starkem Fliegen- oder Mückenaufkommen.",8435,6158
flur-043,43,Rathteich (leer),Trockengelegter Gemeindeteich – Teil der von den Zisterziensern angelegten Teichlandschaft.,7859,7066
flur-044,44,Kläiteich,Klee oder Lehmteich – Teil der von den Zisterziensern angelegten Teichlandschaft.,6372,6709
flur-045,45,Kläibirkla,Kleine birkenbestandene Fläche auf lehmigem Boden.,6448,7115
flur-046,46,Kåstenteich,Kastenteich – Teil der von den Zisterziensern angelegten Teichlandschaft.,7250,6251
flur-047,47,Herrenteich,Teil der von den Zisterziensern angelegten Teichlandschaft.,6724,6250
flur-048,48,Frauenteich,Teil der von den Zisterziensern angelegten Teichlandschaft.,6362,5855
flur-049,49,Muckerteich,Mückenteich.,6217,5516
flur-050,50,Säiteich,Sauteich ?,5678,5885
flur-051,51,Obere Leitn,"Historischer Weg von Ober-Chodau nach Pechgrün über die ""Leitn"", einem 465 m hohen Bergrücken der zwischen den beiden Orten lag. Heute ist noch ein Teil der Eichenallee erhalten, die allerdings nur noch an den Rand der ""Smolnická výsypka"" Abraumhalde führt.",7826,9093
flur-052,52,Leitn,"Chodauer Hausberg (460 m), über den man gehen/fahren musste um nach Pechgrün zu gelangen. Allgemeine Bedeutung: Gelände, das merklich geneigt ist, schwer zu bewirtschaften, oft Übergang zwischen Hoch- und Tieflage.",7294,8820
flur-053,53,Birkwies,Eine Wiese mit Birkenbestand oder starkem Birkenaufwuchs.,6343,4940
flur-054,54,Vuaglsång,"Ortsteil von Pechgrün: Vuaglsång = ""Vogelsang"", also eine Stelle, an der viele Vögel singen.",5964,4887
flur-055,55,Fuatzwinkl,"Ortsteil von Pechgrün: Fuatz = Dreck, Gatsch, Mist, unbrauchbares Zeug.",6494,4683
flur-056,56,Schulberg,Weg bei der Pechgrüner Schule der bergauf zur Dorfkapelle führte.,6742,4433
flur-057,57,Kutscherberch,Früherer Mühlteich. Im Winter Schlittschuharena der Pechgrüner Jugend.,6656,4407
flur-058,58,Hechtenteich,Hat früher einmal ein Mühle miot Wasser versorgt.,6690,4138
flur-059,59,Meislberch,Hügel auf dem das Haus der Familie Josef Roßmeisel stand.,6310,3819
flur-060,60,Linden,"Auf dem Stück Land, das vom »Büllerlweg« und dem Fuhrweg begrenzt wurde, standen die »Linden«, drei uralte Bäume (Pechgrüner Wahrzeichen). Unter den ersten beiden Linden war ein Marterl errichtet. Zwischen der zweiten und dritten hatte sich durch jahrhundertelanges Befahren ein Weg in den Hof tief ins Erdreich eingegraben. Auf diesem Weg gelangte man nach dem Passieren des »Matzlhuafs« wieder zum »Läi(n)huaf«. Die drei Bäume wurden vermutlich während des Dreißigjährigen Krieges, oder kurz nach seiner Beendigung gepflanzt. Etwa 330 Jahre später, am 12. Februar 1976 wurden die Linden von den Tschechen gefällt.",6090,4267
flur-061,61,Låuchrong,"Flaches Stück Land, das steil zum Schwarzebach abfiel.",5901,3982
flur-062,62,s Rinnerl,"""kleines Rinnsal / kleine Geländerinne / schmale Abflussmulde"": hier beliebte Trinkwasserquelle in Pechgrün.",6065,3815
flur-063,63,Matzl's Bühlerl,"Eine kleine Geländekuppe, benannt nach einer Person (Matzl).",5766,4277
flur-064,64,Euin Baint,"Größeres Wiesengrundstück mit einer sumpfigen ""Suttl"" (sumpfige, schmutzige Stelle im Gelände), das dem ""Euin"" Bauern gehörte.",5773,4899
flur-065,65,Pfarrteich,"Der Damm des »Pfårrteichs« war zur Hälfte mit Stauden bewachsen. In seiner Mitte stand ein alter Holzbirnbaum. Die zweite Hälfte des Dammes war bis zu Ullmanns Behelfsheim mit noch jungen Eichen bepflanzt. Im »Pfårrteich« tummelten sich die kleinen Buben, Mädchen und jene Erwachsene, die das Schwimmen erst erlernten.",5432,4498
flur-066,66,Stårkeneierteich,"„Storchen­eier Teich“ (aber nicht wörtlich, sondern bildhaft): Wasserstelle in einem Gebiet mit auffälligen, rundlichen Steinen / Knollen.",5115,4373
flur-067,67,Segelteich,"Trockengelegter Teich des ""Segel Huafs"".",5102,4780
flur-068,68,Segelwallerl,"Wallerl = kleiner Erdwall oder Aufwurf, meist als Grenze oder Geländekante entstanden – gehörte zum ""Segel Huaf"".",4726,4672
flur-069,69,Bärnseigl,"Das Bärnseigl war ein liebliches Waldbächlein, welches am Ende dieses Feldweges aus dem Wald, der die Felder zu den Bergen hin begrenzte, heraustrat. Von dort an gab es nur einen Fußsteig, der gleichzeitig Rain zwischen zwei Feldern war und nach Neuhäuser führte.",4988,3715
flur-070,70,Schütznwies,"Waldwiese, die vielleicht als Schieß- oder Übungsplatz der Dorfschützen diente.",4823,3592
flur-071,71,Vogelschutzgebiet,"Dieses Waldstück war als Vogelschutzgebiet ausgewiesen und bot seltenen Vogelarten Schutz, die durch die benachbarte Teichlandschaft angezogen wurden.",5186,2886
flur-072,72,Mitterwallerl,Kleiner Erdwall am Mitterberg gelegen.,5202,3229
flur-073,73,Goldiche Leitn,Bis zu 610 m hoher Bergrücken an dem entlang der Schwarzebach von Kösteldorf aus zur Wehrmühle hinunterfloss.,4744,2238
flur-074,74,Knigger,Geländekante oder kurzer Hangabsatz („Knick“ im Gelände).,4111,2846
flur-075,75,Mitterberg,Breiter Höhenzug mit bis zu 650 m hohen Gipfeln.,3436,2795
flur-076,76,Föllerberg,"Sagenumwogener 616,3 m hoher Berg – von dem etwas tiefer gelegenen ""Chodaublick"" Felsen hatte man eine herrliche Aussicht über das gesamte Egertalbecken bin hin zum Kaiserwald und Bayrischen Wald.",2104,4293
flur-077,77,Chodaublick,"Aussichtspunkt auf dem Föllerberg (616,3 m). Früher sehr beliebtes Ausflugsziel bei den Chodauer Bürgern, heute etwas in Vergessenheit geraten und ziemlich zugewachsen.",2138,4419
flur-078,78,Föllerberghöhle,Ursprünglich ein Wassersammelstollen (Kanat): unterirdischer Stollen zur Sammlung und Ableitung von Quell- und Sickerwasser mittels natürlichem Gefälle.,2898,4260
flur-079,79,Masterberg,Kleiner Hügel im Bereich von Neuhäuser. Der Name bezieht sich vermutlich auf einen nahegelegenen Hof.,3465,5171
flur-080,80,Neuhäuser,Ab 1924 Ortsteil von Pechgrün.,3815,4308
flur-081,81,Flößbach,"Bach, der bei hohem Wasserstand zum Transport von Kurz-/Scheit-Holz (Flößen) genutzt wurde.",3208,5809
flur-082,82,Steidlberg,Kleiner Hügel im Bereich von Neuhäuser. Der Name bezieht sich vermutlich auf einen nahegelegenen Hof.,4109,4707
flur-083,83,Heuknuag,"Ort, an dem Heu aufgesetzt oder gelagert wurde.",4395,4190
flur-084,84,Dotterwies,Nachbarort von Pechgrün.,871,2444
flur-085,85,Doglasgrün,Nachbarort von Pechgrün.,1252,6637
flur-086,86,Stelzengrün,Nachbarort von Pechgrün.,4700,7516
flur-087,87,Braunsdorf,Nachbarort von Pechgrün.,4396,8589
flur-088,88,Chodau,Heute Kreisstadt – Pechgrün gehörte früher zu den Gütern Ober- und Unterchodau und zum Chodauer Pfarrbezirk.,7749,10232
flur-089,89,Poschetzau,Nachbarort von Pechgrün.,11291,6468
flur-090,90,Schwarzebach (Oberlauf),Wilder Bachlauf mit stärkerem Gefälle oberhalb von Pechgrün.,4962,2025
flur-091,91,Schwarzebach (Unterlauf),Sanfter Bachlauf mit ruhiger Wasserführung im Dorfbereich.,7706,4617
